Date,Province,Cases,tsf,mst,rh,rfm,area,spd,sca
03/04/2022,Aurora,0,25309.71429,26.71428571,85.85714286,10.91001143,3147,8.042442857,0
10/04/2022,Aurora,0,24835.71429,26.87142857,86,7.41869,3147,7.8919,0
17/04/2022,Aurora,0,24421.42857,26.8,86.57142857,7.799998571,3147,7.760214286,0
24/04/2022,Aurora,0,24007,26.65714286,86,5.048997143,3147,7.628542857,0
01/05/2022,Aurora,0,23592.57143,26.97142857,85.57142857,1.29626,3147,7.496885714,0
08/05/2022,Aurora,0,23178.28571,27.88571429,82.85714286,13.2972,3147,7.3652,0
15/05/2022,Aurora,0,22763.71429,27.75714286,83.14285714,8.884914286,3147,7.233514286,0
22/05/2022,Aurora,0,22349.57143,27.81428571,83.42857143,5.4753,3147,7.101842857,0
29/05/2022,Aurora,0,21935.28571,27.68571429,82.57142857,4.8729,3147,6.970171429,0
05/06/2022,Aurora,0,21520.71429,27.72857143,84.14285714,3.860345714,3147,6.8385,0
12/06/2022,Aurora,0,21106.42857,27.72857143,83.85714286,4.84045,3147,6.7068,0
19/06/2022,Aurora,0,20692,27.7,84,15.27757,3147,6.575142857,0
26/06/2022,Aurora,0,20277.57143,27.72857143,83.71428571,13.59799857,3147,6.443471429,0
03/07/2022,Aurora,0,19919.42857,27.85714286,85,11.40414143,3147,6.329642857,0
10/07/2022,Aurora,0,20235.42857,28.08571429,86.42857143,7.59907,3147,6.430071429,0.142857143
17/07/2022,Aurora,0,20739,27.81428571,87.57142857,8.439387143,3147,6.590028571,0.5
24/07/2022,Aurora,0,21242.14286,27.95714286,86.28571429,11.44125571,3147,6.750014286,4.071428571
31/07/2022,Aurora,0,21745.71429,27.78571429,87.14285714,15.25701,3147,6.909971429,7.928571429
07/08/2022,Aurora,0,22249,27.32857143,89.85714286,10.03645286,3147,7.069928571,12
14/08/2022,Aurora,0,22752.42857,27.38571429,89.85714286,9.758345714,3147,7.229871429,11.5
21/08/2022,Aurora,0,23256,27.51428571,89.57142857,10.54766,3147,7.389828571,8.285714286
28/08/2022,Aurora,0,23759,27.2,89.71428571,8.89159,3147,7.5498,7.571428571
04/09/2022,Aurora,0,24262.71429,27.71428571,87.42857143,7.6243,3147,7.709771429,10.92857143
11/09/2022,Aurora,0,24766,28.07142857,86,5.93458,3147,7.869728571,12.57142857
18/09/2022,Aurora,0,25269.28571,28.21428571,86.14285714,14.25794,3147,8.029671429,9.785714286
25/09/2022,Aurora,0,25773,28.01428571,86.28571429,10.34071714,3147,8.189628571,5.142857143
02/10/2022,Aurora,0,26281.14286,27.98571429,85.71428571,9.896124286,3147,8.3512,10.14285714
09/10/2022,Aurora,0,26958.85714,27.48571429,84.85714286,24.85607,3147,8.566528571,16
16/10/2022,Aurora,0,27713.42857,27.45714286,84.57142857,28.80133429,3147,8.806271429,17.71428571
23/10/2022,Aurora,0,28467.85714,27.45714286,85.85714286,30.37944,3147,9.046028571,11.14285714
30/10/2022,Aurora,0,29222.42857,27.62857143,85.42857143,30.37944,3147,9.285771429,4
06/11/2022,Aurora,2.571428571,29976.71429,27.07142857,88.14285714,11.10814286,3147,9.525528571,1.428571429
13/11/2022,Aurora,3,30731.42857,26.98571429,88.14285714,11.37022571,3147,9.765271429,0
20/11/2022,Aurora,56.57142857,31485.71429,26.92857143,87.57142857,20.05514,3147,10.00502857,4.285714286
27/11/2022,Aurora,74.42857143,32240.28571,27.01428571,88.28571429,11.83458286,3147,10.24477143,5
04/12/2022,Aurora,77,32994.71429,26.01428571,85.85714286,11.39132286,3147,10.48452857,16.42857143
11/12/2022,Aurora,46.28571429,33749.28571,25.47142857,85.71428571,12.6271,3147,10.72425714,21.42857143
18/12/2022,Aurora,24.14285714,34503.57143,25.34285714,85.28571429,17.19626,3147,10.96397143,20
25/12/2022,Aurora,19,35258.28571,25.35714286,84.71428571,11.87503143,3147,11.20372857,20
01/01/2023,Aurora,10.85714286,36012.57143,25.34285714,86.14285714,7.88411,3147,11.44347143,20
